id,firstname,surname,born,died,bornCountry,bornCountryCode,gender,prize_years,prize_categories,prize_motivation,ISO-ALPHA-3,latitude,longitude,officialCountryName
485,Hjalmar,Branting,1860,1925,Sweden,SE,male,1921,peace,"""for their lifelong contributions to the cause of peace and organized internationalism""",SWE,61.0,15.0,Sweden
486,Christian,Lange,1869,1938,Norway,NO,male,1921,peace,"""for their lifelong contributions to the cause of peace and organized internationalism""",NOR,65.0,11.0,Norway
487,Fridtjof,Nansen,1861,1930,Norway,NO,male,1922,peace,"""for his leading role in the repatriation of prisoners of war, in international relief work and as the League of Nations' High Commissioner for refugees""",NOR,65.0,11.0,Norway
488,Sir Austen,Chamberlain,1863,1937,United Kingdom,GB,male,1925,peace,"""for his crucial role in bringing about the Locarno Treaty""",GBR,54.6,-2.0,United Kingdom
489,Charles G.,Dawes,1865,1951,USA,US,male,1925,peace,"""for his crucial role in bringing about the Dawes Plan""",USA,39.83,-98.58,United States of America
490,Aristide,Briand,1862,1932,France,FR,male,1926,peace,"""for their crucial role in bringing about the Locarno Treaty""",FRA,47.0,2.0,France
491,Gustav,Stresemann,1878,1929,Germany,DE,male,1926,peace,"""for their crucial role in bringing about the Locarno Treaty""",DDR,52.05,12.39,German Democratic Republic
492,Ferdinand,Buisson,1841,1932,France,FR,male,1927,peace,"""for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation""",FRA,47.0,2.0,France
493,Ludwig,Quidde,1858,1941,Germany,DE,male,1927,peace,"""for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation""",DDR,52.05,12.39,German Democratic Republic
494,Frank B.,Kellogg,1856,1937,USA,US,male,1929,peace,"""for his crucial role in bringing about the Briand-Kellogg Pact""",USA,39.83,-98.58,United States of America
495,Nathan,Söderblom,1866,1931,Sweden,SE,male,1930,peace,"""for promoting Christian unity and helping create 'that new attitude of mind which is necessary if peace between nations is to become reality'""",SWE,61.0,15.0,Sweden
496,Jane,Addams,1860,1935,USA,US,female,1931,peace,"""for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind""",USA,39.83,-98.58,United States of America
497,Nicholas Murray,Butler,1862,1947,USA,US,male,1931,peace,"""for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind""",USA,39.83,-98.58,United States of America
498,Sir Norman,Angell,1872,1967,United Kingdom,GB,male,1933,peace,"""for having exposed by his pen the illusion of war and presented a convincing plea for international cooperation and peace""",GBR,54.6,-2.0,United Kingdom
499,Arthur,Henderson,1863,1935,Scotland,GB,male,1934,peace,"""for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34""",GBR,54.6,-2.0,United Kingdom
500,Carl,von Ossietzky,1889,1938,Germany,DE,male,1935,peace,"""for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace""",DDR,52.05,12.39,German Democratic Republic
501,Carlos,Saavedra Lamas,1878,1959,Argentina,AR,male,1936,peace,"""for his role as father of the Argentine Antiwar Pact of 1933, which he also used as a means to mediate peace between Paraguay and Bolivia in 1935""",ARG,-34.0,-64.0,Argentina
502,Robert,Cecil,1864,1958,United Kingdom,GB,male,1937,peace,"""for his tireless effort in support of the League of Nations, disarmament and peace""",GBR,54.6,-2.0,United Kingdom
505,Cordell,Hull,1871,1955,USA,US,male,1945,peace,"""for his indefatigable work for international understanding and his pivotal role in establishing the United Nations""",USA,39.83,-98.58,United States of America
506,Emily Greene,Balch,1867,1961,USA,US,female,1946,peace,"""for her lifelong work for the cause of peace""",USA,39.83,-98.58,United States of America
507,John R.,Mott,1865,1955,USA,US,male,1946,peace,"""for his contribution to the creation of a peace-promoting religious brotherhood across national boundaries""",USA,39.83,-98.58,United States of America
510,John,Boyd Orr,1880,1971,Scotland,GB,male,1949,peace,"""for his lifelong effort to conquer hunger and want, thereby helping to remove a major cause of military conflict and war""",GBR,54.6,-2.0,United Kingdom
511,Ralph,Bunche,1904,1971,USA,US,male,1950,peace,"""for his work as mediator in Palestine in 1948-1949""",USA,39.83,-98.58,United States of America
512,Léon,Jouhaux,1879,1954,France,FR,male,1951,peace,"""for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations""",FRA,47.0,2.0,France
513,Albert,Schweitzer,1875,1965,Germany (now France),FR,male,1952,peace,"""for his altruism, reverence for life, and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one""",FRA,47.0,2.0,France
514,George C.,Marshall,1880,1959,USA,US,male,1953,peace,"""for proposing and supervising the plan for the economic recovery of Europe""",USA,39.83,-98.58,United States of America
516,Lester Bowles,Pearson,1897,1972,Canada,CA,male,1957,peace,"""for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis""",CAN,56.0,-109.0,Canada
517,Georges,Pire,1910,1969,Belgium,BE,male,1958,peace,"""for his efforts to help refugees to leave their camps and return to a life of freedom and dignity""",BEL,50.64,4.67,Belgium
518,Philip,Noel-Baker,1889,1982,United Kingdom,GB,male,1959,peace,"""for his longstanding contribution to the cause of disarmament and peace""",GBR,54.6,-2.0,United Kingdom
519,Albert,Lutuli,1898,1967,Southern Rhodesia (now Zimbabwe),ZW,male,1960,peace,"""for his non-violent struggle against apartheid""",ZWE,-19.0,30.0,Zimbabwe
520,Dag,Hammarskjöld,1905,1961,Sweden,SE,male,1961,peace,"""for developing the UN into an effective and constructive international organization, capable of giving life to the principles and aims expressed in the UN Charter""",SWE,61.0,15.0,Sweden
524,Martin Luther,King Jr.,1929,1968,USA,US,male,1964,peace,"""for his non-violent struggle for civil rights for the Afro-American population""",USA,39.83,-98.58,United States of America
526,René,Cassin,1887,1976,France,FR,male,1968,peace,"""for his struggle to ensure the rights of man as stipulated in the UN Declaration""",FRA,47.0,2.0,France
528,Norman,Borlaug,1914,2009,USA,US,male,1970,peace,"""for having given a well-founded hope - the green revolution""",USA,39.83,-98.58,United States of America
529,Willy,Brandt,1913,1992,Germany,DE,male,1971,peace,"""for paving the way for a meaningful dialogue between East and West""",DDR,52.05,12.39,German Democratic Republic
530,Henry,Kissinger,1923,2023,Germany,DE,male,1973,peace,"""for jointly having negotiated a cease fire in Vietnam in 1973""",DDR,52.05,12.39,German Democratic Republic
532,Seán,MacBride,1904,1988,France,FR,male,1974,peace,"""for his efforts to secure and develop human rights throughout the world""",FRA,47.0,2.0,France
533,Eisaku,Satō,1901,1975,Japan,JP,male,1974,peace,"""for his contribution to stabilize conditions in the Pacific rim area and for signing the Nuclear Non-Proliferation Treaty""",JPN,35.0,136.0,Japan
534,Andrei,Sakharov,1921,1989,Russia,RU,male,1975,peace,"""for his struggle for human rights in the Soviet Union, for disarmament and cooperation between all nations""",RUS,66.42,94.25,Russia
535,Betty,Williams,1943,2020,Northern Ireland,GB,female,1976,peace,"""for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland""",GBR,54.6,-2.0,United Kingdom
536,Mairead,Corrigan,1944,0,Northern Ireland,GB,female,1976,peace,"""for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland""",GBR,54.6,-2.0,United Kingdom
538,Anwar,al-Sadat,1918,1981,Egypt,EG,male,1978,peace,"""for jointly having negotiated peace between Egypt and Israel in 1978""",EGY,27.0,29.0,Egypt
539,Menachem,Begin,1913,1992,Russian Empire (now Belarus),BY,male,1978,peace,"""for jointly having negotiated peace between Egypt and Israel in 1978""",BLR,53.53,28.05,Belarus
540,Anjezë Gonxhe,Bojaxhiu,1910,1997,Ottoman Empire (now North Macedonia),MK,female,1979,peace,"""for her work for bringing help to suffering humanity""",MKD,41.65,21.72,North Macedonia
541,Adolfo,Pérez Esquivel,1931,0,Argentina,AR,male,1980,peace,"""for being a source of inspiration to repressed people, especially in Latin America""",ARG,-34.0,-64.0,Argentina
543,Alva,Myrdal,1902,1986,Sweden,SE,female,1982,peace,"""for their work for disarmament and nuclear and weapon-free zones""",SWE,61.0,15.0,Sweden
544,Alfonso,García Robles,1911,1991,Mexico,MX,male,1982,peace,"""for their work for disarmament and nuclear and weapon-free zones""",MEX,23.0,-102.0,Mexico
545,Lech,Wałęsa,1943,0,Poland,PL,male,1983,peace,"""for non-violent struggle for free trade unions and human rights in Poland""",POL,52.0,19.0,Poland
546,Desmond,Tutu,1931,2021,South Africa,ZA,male,1984,peace,"""for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa""",ZAF,-29.0,24.0,South Africa
548,Elie,Wiesel,1928,2016,Romania,RO,male,1986,peace,"""for being a messenger to mankind: his message is one of peace, atonement and dignity""",ROU,46.0,25.0,Romania
549,Oscar,Arias Sánchez,1940,0,Costa Rica,CR,male,1987,peace,"""for his work for lasting peace in Central America""",CRI,10.0,-84.0,Costa Rica
551,Lhamo,Thondup,1935,0,Tibet (now China),CN,male,1989,peace,"""for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people""",CHN,35.84,103.45,People's Republic of China
552,Mikhail,Gorbachev,1931,2022,USSR (now Russia),RU,male,1990,peace,"""for the leading role he played in the radical changes in East-West relations""",RUS,66.42,94.25,Russia
554,Rigoberta,Menchú Tum,1959,0,Guatemala,GT,female,1992,peace,"""for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples""",GTM,15.5,-90.25,Guatemala
555,Nelson,Mandela,1918,2013,South Africa,ZA,male,1993,peace,"""for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa""",ZAF,-29.0,24.0,South Africa
556,F.W.,de Klerk,1936,2021,South Africa,ZA,male,1993,peace,"""for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa""",ZAF,-29.0,24.0,South Africa
557,Yasser,Arafat,1929,2004,Egypt,EG,male,1994,peace,"""for their efforts to create peace in the Middle East""",EGY,27.0,29.0,Egypt
558,Shimon,Peres,1923,2016,Poland (now Belarus),BY,male,1994,peace,"""for their efforts to create peace in the Middle East""",BLR,53.53,28.05,Belarus
559,Yitzhak,Rabin,1922,1995,British Mandate of Palestine (now Israel),IL,male,1994,peace,"""for their efforts to create peace in the Middle East""",ISR,31.0,35.0,Israel
560,Joseph,Rotblat,1908,2005,Russian Empire (now Poland),PL,male,1995,peace,"""for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms""",POL,52.0,19.0,Poland
562,Carlos Filipe Ximenes,Belo,1948,0,East Timor,TL,male,1996,peace,"""for their work towards a just and peaceful solution to the conflict in East Timor""",TLS,-8.97,125.75,East Timor
563,José,Ramos-Horta,1949,0,East Timor,TL,male,1996,peace,"""for their work towards a just and peaceful solution to the conflict in East Timor""",TLS,-8.97,125.75,East Timor
565,Jody,Williams,1950,0,USA,US,female,1997,peace,"""for their work for the banning and clearing of anti-personnel mines""",USA,39.83,-98.58,United States of America
566,John,Hume,1937,2020,Northern Ireland,GB,male,1998,peace,"""for their efforts to find a peaceful solution to the conflict in Northern Ireland""",GBR,54.6,-2.0,United Kingdom
567,David,Trimble,1944,2022,Northern Ireland,GB,male,1998,peace,"""for their efforts to find a peaceful solution to the conflict in Northern Ireland""",GBR,54.6,-2.0,United Kingdom
569,Sully,Prudhomme,1839,1907,France,FR,male,1901,literature,"""in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect""",FRA,47.0,2.0,France
571,Theodor,Mommsen,1817,1903,Schleswig (now Germany),DE,male,1902,literature,"""the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>""",DDR,52.05,12.39,German Democratic Republic
572,Bjørnstjerne,Bjørnson,1832,1910,Norway,NO,male,1903,literature,"""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",NOR,65.0,11.0,Norway
573,Frédéric,Mistral,1830,1914,France,FR,male,1904,literature,"""in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist""",FRA,47.0,2.0,France
574,José,Echegaray,1832,1916,Spain,ES,male,1904,literature,"""in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama""",ESP,40.2,-3.5,Spain
575,Henryk,Sienkiewicz,1846,1916,Poland,PL,male,1905,literature,"""because of his outstanding merits as an epic writer""",POL,52.0,19.0,Poland
576,Giosuè,Carducci,1835,1907,Tuscany (now Italy),IT,male,1906,literature,"""not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces""",ITA,42.5,12.5,Italy
577,Rudyard,Kipling,1865,1936,British India (now India),IN,male,1907,literature,"""in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",IND,22.8,83.0,India
578,Rudolf,Eucken,1846,1926,East Friesland (now Germany),DE,male,1908,literature,"""in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",DDR,52.05,12.39,German Democratic Republic
579,Selma,Lagerlöf,1858,1940,Sweden,SE,female,1909,literature,"""in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings""",SWE,61.0,15.0,Sweden
580,Paul,Heyse,1830,1914,Prussia (now Germany),DE,male,1910,literature,"""as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories""",DDR,52.05,12.39,German Democratic Republic
581,Maurice,Maeterlinck,1862,1949,Belgium,BE,male,1911,literature,"""in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",BEL,50.64,4.67,Belgium
582,Gerhart,Hauptmann,1862,1946,Prussia (now Poland),PL,male,1912,literature,"""primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art""",POL,52.0,19.0,Poland
583,Rabindranath,Tagore,1861,1941,India,IN,male,1913,literature,"""because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West""",IND,22.8,83.0,India
584,Romain,Rolland,1866,1944,France,FR,male,1915,literature,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",FRA,47.0,2.0,France
585,Verner,von Heidenstam,1859,1940,Sweden,SE,male,1916,literature,"""in recognition of his significance as the leading representative of a new era in our literature""",SWE,61.0,15.0,Sweden
586,Karl,Gjellerup,1857,1919,Denmark,DK,male,1917,literature,"""for his varied and rich poetry, which is inspired by lofty ideals""",DNK,56.0,10.0,Denmark
587,Henrik,Pontoppidan,1857,1943,Denmark,DK,male,1917,literature,"""for his authentic descriptions of present-day life in Denmark""",DNK,56.0,10.0,Denmark
588,Carl,Spitteler,1845,1924,Switzerland,CH,male,1919,literature,"""in special appreciation of his epic, <I>Olympian Spring</I>""",CHE,46.8,8.23,Switzerland
589,Knut,Hamsun,1859,1952,Norway,NO,male,1920,literature,"""for his monumental work, <I>Growth of the Soil</I>""",NOR,65.0,11.0,Norway
590,Anatole,France,1844,1924,France,FR,male,1921,literature,"""in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament""",FRA,47.0,2.0,France
592,Jacinto,Benavente,1866,1954,Spain,ES,male,1922,literature,"""for the happy manner in which he has continued the illustrious traditions of the Spanish drama""",ESP,40.2,-3.5,Spain
593,William Butler,Yeats,1865,1939,Ireland,IE,male,1923,literature,"""for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation""",IRL,53.0,-8.0,Republic of Ireland
594,Władysław,Reymont,1867,1925,Russian Empire (now Poland),PL,male,1924,literature,"""for his great national epic, <I>The Peasants</I>""",POL,52.0,19.0,Poland
596,George Bernard,Shaw,1856,1950,Ireland,IE,male,1925,literature,"""for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty""",IRL,53.0,-8.0,Republic of Ireland
597,Grazia,Deledda,1871,1936,Italy,IT,female,1926,literature,"""for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general""",ITA,42.5,12.5,Italy
600,Henri,Bergson,1859,1941,France,FR,male,1927,literature,"""in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented""",FRA,47.0,2.0,France
601,Sigrid,Undset,1882,1949,Denmark,DK,female,1928,literature,"""principally for her powerful descriptions of Northern life during the Middle Ages""",DNK,56.0,10.0,Denmark
602,Thomas,Mann,1875,1955,Germany,DE,male,1929,literature,"""principally for his great novel, <I>Buddenbrooks</I>, which has won steadily increased recognition as one of the classic works of contemporary literature""",DDR,52.05,12.39,German Democratic Republic
603,Sinclair,Lewis,1885,1951,USA,US,male,1930,literature,"""for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters""",USA,39.83,-98.58,United States of America
604,Erik Axel,Karlfeldt,1864,1931,Sweden,SE,male,1931,literature,"""The poetry of Erik Axel Karlfeldt""",SWE,61.0,15.0,Sweden
605,John,Galsworthy,1867,1933,United Kingdom,GB,male,1932,literature,"""for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>""",GBR,54.6,-2.0,United Kingdom
606,Ivan,Bunin,1870,1953,Russia,RU,male,1933,literature,"""for the strict artistry with which he has carried on the classical Russian traditions in prose writing""",RUS,66.42,94.25,Russia
607,Luigi,Pirandello,1867,1936,Italy,IT,male,1934,literature,"""for his bold and ingenious revival of dramatic and scenic art""",ITA,42.5,12.5,Italy
608,Eugene,O'Neill,1888,1953,USA,US,male,1936,literature,"""for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy""",USA,39.83,-98.58,United States of America
609,Roger,Martin du Gard,1881,1958,France,FR,male,1937,literature,"""for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>""",FRA,47.0,2.0,France
610,Pearl,Buck,1892,1973,USA,US,female,1938,literature,"""for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces""",USA,39.83,-98.58,United States of America
613,Frans Eemil,Sillanpää,1888,1964,Russian Empire (now Finland),FI,male,1939,literature,"""for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature""",FIN,65.0,27.0,Finland
614,Johannes V.,Jensen,1873,1950,Denmark,DK,male,1944,literature,"""for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style""",DNK,56.0,10.0,Denmark
615,Gabriela,Mistral,1889,1957,Chile,CL,female,1945,literature,"""for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world""",CHL,-33.0,-71.0,Chile
617,Hermann,Hesse,1877,1962,Germany,DE,male,1946,literature,"""for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style""",DDR,52.05,12.39,German Democratic Republic
618,André,Gide,1869,1951,France,FR,male,1947,literature,"""for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight""",FRA,47.0,2.0,France
619,T.S.,Eliot,1888,1965,USA,US,male,1948,literature,"""for his outstanding, pioneer contribution to present-day poetry""",USA,39.83,-98.58,United States of America
620,William,Faulkner,1897,1962,USA,US,male,1949,literature,"""for his powerful and artistically unique contribution to the modern American novel""",USA,39.83,-98.58,United States of America
621,Bertrand,Russell,1872,1970,United Kingdom,GB,male,1950,literature,"""in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought""",GBR,54.6,-2.0,United Kingdom
622,Pär,Lagerkvist,1891,1974,Sweden,SE,male,1951,literature,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind""",SWE,61.0,15.0,Sweden
623,François,Mauriac,1885,1970,France,FR,male,1952,literature,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life""",FRA,47.0,2.0,France
624,Winston,Churchill,1874,1965,United Kingdom,GB,male,1953,literature,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values""",GBR,54.6,-2.0,United Kingdom
625,Ernest,Hemingway,1899,1961,USA,US,male,1954,literature,"""for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style""",USA,39.83,-98.58,United States of America
626,Halldór,Laxness,1902,1998,Iceland,IS,male,1955,literature,"""for his vivid epic power which has renewed the great narrative art of Iceland""",ISL,65.0,-19.0,Iceland
627,Juan Ramón,Jiménez,1881,1958,Spain,ES,male,1956,literature,"""for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity""",ESP,40.2,-3.5,Spain
628,Albert,Camus,1913,1960,French Algeria (now Algeria),DZ,male,1957,literature,"""for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times""",DZA,28.0,1.0,Algeria
629,Boris,Pasternak,1890,1960,Russia,RU,male,1958,literature,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition""",RUS,66.42,94.25,Russia
630,Salvatore,Quasimodo,1901,1968,Italy,IT,male,1959,literature,"""for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times""",ITA,42.5,12.5,Italy
631,Saint-John,Perse,1887,1975,Guadeloupe Island,GP,male,1960,literature,"""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time""",GLP,16.25,-61.58,Guadeloupe
633,Ivo,Andrić,1892,1975,Bosnia (now Bosnia and Herzegovina),BA,male,1961,literature,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country""",BIH,44.0,18.0,Bosnia and Herzegovina
634,John,Steinbeck,1902,1968,USA,US,male,1962,literature,"""for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception""",USA,39.83,-98.58,United States of America
635,Giorgos,Seferis,1900,1971,Ottoman Empire (now Turkey),TR,male,1963,literature,"""for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture""",TUR,39.0,36.0,Turkey
637,Jean-Paul,Sartre,1905,1980,France,FR,male,1964,literature,"""for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age""",FRA,47.0,2.0,France
638,Mikhail,Sholokhov,1905,1984,Russia,RU,male,1965,literature,"""for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people""",RUS,66.42,94.25,Russia
639,Shmuel,Agnon,1888,1970,Austria-Hungary (now Ukraine),UA,male,1966,literature,"""for his profoundly characteristic narrative art with motifs from the life of the Jewish people""",UKR,49.0,32.0,Ukraine
640,Nelly,Sachs,1891,1970,Germany,DE,female,1966,literature,"""for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength""",DDR,52.05,12.39,German Democratic Republic
641,Miguel Angel,Asturias,1899,1974,Guatemala,GT,male,1967,literature,"""for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America""",GTM,15.5,-90.25,Guatemala
642,Yasunari,Kawabata,1899,1972,Japan,JP,male,1968,literature,"""for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind""",JPN,35.0,136.0,Japan
643,Samuel,Beckett,1906,1989,Ireland,IE,male,1969,literature,"""for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation""",IRL,53.0,-8.0,Republic of Ireland
644,Aleksandr,Solzhenitsyn,1918,2008,Russia,RU,male,1970,literature,"""for the ethical force with which he has pursued the indispensable traditions of Russian literature""",RUS,66.42,94.25,Russia
645,Pablo,Neruda,1904,1973,Chile,CL,male,1971,literature,"""for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams""",CHL,-33.0,-71.0,Chile
647,Heinrich,Böll,1917,1985,Germany,DE,male,1972,literature,"""for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature""",DDR,52.05,12.39,German Democratic Republic
648,Patrick,White,1912,1990,United Kingdom,GB,male,1973,literature,"""for an epic and psychological narrative art which has introduced a new continent into literature""",GBR,54.6,-2.0,United Kingdom
649,Eyvind,Johnson,1900,1976,Sweden,SE,male,1974,literature,"""for a narrative art, far-seeing in lands and ages, in the service of freedom""",SWE,61.0,15.0,Sweden
650,Harry,Martinson,1904,1978,Sweden,SE,male,1974,literature,"""for writings that catch the dewdrop and reflect the cosmos""",SWE,61.0,15.0,Sweden
651,Eugenio,Montale,1896,1981,Italy,IT,male,1975,literature,"""for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions""",ITA,42.5,12.5,Italy
652,Saul,Bellow,1915,2005,Canada,CA,male,1976,literature,"""for the human understanding and subtle analysis of contemporary culture that are combined in his work""",CAN,56.0,-109.0,Canada
653,Vicente,Aleixandre,1898,1984,Spain,ES,male,1977,literature,"""for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars""",ESP,40.2,-3.5,Spain
654,Isaac Bashevis,Singer,1904,1991,Russian Empire (now Poland),PL,male,1978,literature,"""for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life""",POL,52.0,19.0,Poland
655,Odysseus,Elytis,1911,1996,Crete (now Greece),GR,male,1979,literature,"""for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness""",GRC,38.5,23.0,Greece
657,Czesław,Miłosz,1911,2004,Russian Empire (now Lithuania),LT,male,1980,literature,"""who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts""",LTU,55.2,24.0,Lithuania
658,Elias,Canetti,1905,1994,Bulgaria,BG,male,1981,literature,"""for writings marked by a broad outlook, a wealth of ideas and artistic power""",BGR,42.75,25.5,Bulgaria
659,Gabriel,García Márquez,1927,2014,Colombia,CO,male,1982,literature,"""for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts""",COL,4.0,-73.25,Colombia
660,William,Golding,1911,1993,United Kingdom,GB,male,1983,literature,"""for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today""",GBR,54.6,-2.0,United Kingdom
661,Jaroslav,Seifert,1901,1986,Austria-Hungary (now Czech Republic),CZ,male,1984,literature,"""for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man""",CZE,49.5,16.0,Czech Republic
662,Claude,Simon,1913,2005,Madagascar,MG,male,1985,literature,"""who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition""",MDG,-20.0,47.0,Madagascar
663,Wole,Soyinka,1934,0,Nigeria,NG,male,1986,literature,"""who in a wide cultural perspective and with poetic overtones fashions the drama of existence""",NGA,9.0,8.0,Nigeria
664,Joseph,Brodsky,1940,1996,USSR (now Russia),RU,male,1987,literature,"""for an all-embracing authorship, imbued with clarity of thought and poetic intensity""",RUS,66.42,94.25,Russia
665,Naguib,Mahfouz,1911,2006,Egypt,EG,male,1988,literature,"""who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind""",EGY,27.0,29.0,Egypt
666,Camilo José,Cela,1916,2002,Spain,ES,male,1989,literature,"""for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability""",ESP,40.2,-3.5,Spain
667,Octavio,Paz,1914,1998,Mexico,MX,male,1990,literature,"""for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity""",MEX,23.0,-102.0,Mexico
668,Nadine,Gordimer,1923,2014,South Africa,ZA,female,1991,literature,"""who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity""",ZAF,-29.0,24.0,South Africa
